Rank,PlayerID,Name,Team,ByeWeek,Age,Position,PositionRank,AverageDraftPositionPPR
1,18877,Christian McCaffrey,CAR,13,27,RB,RB1,1.3
2,18872,Dalvin Cook,MIN,7,28,RB,RB2,2.5
3,18878,Alvin Kamara,NO,6,28,RB,RB3,3.1
4,16470,Davante Adams,GB,13,31,WR,WR1,4.5
5,17923,Ezekiel Elliott,DAL,7,28,RB,RB4,5.3
6,17959,Derrick Henry,TEN,13,30,RB,RB5,6.4
7,19562,Austin Ekeler,LAC,7,29,RB,RB6,6.5
8,15048,Travis Kelce,KC,12,34,TE,TE1,6.9
9,19045,Aaron Jones,GB,13,29,RB,RB7,9
10,18082,Tyreek Hill,KC,12,30,WR,WR2,9.3
11,19798,Nick Chubb,CLE,13,28,RB,RB8,10.4
12,21768,Najee Harris,PIT,7,26,RB,RB9,11.6
13,19766,Saquon Barkley,NYG,10,27,RB,RB10,12.4
14,16906,Stefon Diggs,BUF,7,30,WR,WR3,13
15,21682,Jonathan Taylor,IND,14,25,RB,RB11,13.2
16,21861,Antonio Gibson,WAS,9,25,RB,RB12,14.8
17,14986,DeAndre Hopkins,ARI,12,31,WR,WR4,16.7
18,19802,Calvin Ridley,ATL,6,29,WR,WR5,17.9
19,20875,DK Metcalf,SEA,9,26,WR,WR6,18.5
20,18858,Joe Mixon,CIN,10,27,RB,RB13,19.4
21,21769,Clyde Edwards-Helaire,KC,12,25,RB,RB14,19.7
22,18890,Patrick Mahomes,KC,12,28,QB,QB1,19.8
23,16964,Darren Waller,LV,8,31,TE,TE2,21.6
24,21685,Justin Jefferson,MIN,7,24,WR,WR7,22.6
25,21042,A.J. Brown,TEN,13,26,WR,WR8,24.1
26,20882,David Montgomery,CHI,10,26,RB,RB15,25.4
27,15076,Keenan Allen,LAC,7,32,WR,WR9,25.9
28,21970,James Robinson,JAX,7,25,RB,RB16,27.1
29,19119,Chris Carson,SEA,9,29,RB,RB17,27.4
30,20873,Terry McLaurin,WAS,9,28,WR,WR10,28.6
31,19063,George Kittle,SF,6,30,TE,TE3,30.4
32,21679,CeeDee Lamb,DAL,7,25,WR,WR11,30.9
33,19801,Josh Allen,BUF,7,27,QB,QB2,32.5
34,16263,Allen Robinson II,CHI,10,30,WR,WR12,33
35,20824,Josh Jacobs,LV,8,26,RB,RB18,33.1
36,21684,D'Andre Swift,DET,9,25,RB,RB19,34.8
37,14871,Robert Woods,LAR,11,32,WR,WR13,35.6
38,20933,Miles Sanders,PHI,14,27,RB,RB20,37.6
39,16597,Mike Evans,TB,9,30,WR,WR14,38.2
40,20768,Myles Gaskin,MIA,14,27,RB,RB21,39.2
41,16765,Amari Cooper,DAL,7,29,WR,WR15,39.4
42,22508,Kyle Pitts,ATL,6,23,TE,TE4,40.1
43,20889,Kyler Murray,ARI,12,26,QB,QB3,41.7
44,16887,Mike Davis,ATL,6,31,RB,RB22,42.2
45,20239,Gus Edwards,BAL,8,29,RB,RB23,43.2
46,18882,Cooper Kupp,LAR,11,30,WR,WR16,44
47,21077,Diontae Johnson,PIT,7,27,WR,WR17,44.8
48,18880,Chris Godwin,TB,9,28,WR,WR18,46.8
49,20798,Darrell Henderson Jr.,LAR,11,26,RB,RB24,47.8
50,16830,Tyler Lockett,SEA,9,31,WR,WR19,48.7
51,19781,Lamar Jackson,BAL,8,27,QB,QB4,50.1
52,13291,Julio Jones,TEN,13,35,WR,WR20,50.3
53,19803,Mark Andrews,BAL,8,28,TE,TE5,50.6
54,22558,Javonte Williams,DEN,11,24,RB,RB25,51.7
55,20790,Damien Harris,NE,14,27,RB,RB26,52.4
56,15534,Adam Thielen,MIN,7,33,WR,WR21,53.9
57,2593,Aaron Rodgers,GB,13,40,QB,QB5,54.1
58,21747,Brandon Aiyuk,SF,6,26,WR,WR22,54.5
59,20805,T.J. Hockenson,DET,9,26,TE,TE6,55.4
60,17217,Raheem Mostert,SF,6,32,RB,RB27,57.5
61,19844,DJ Moore,CAR,13,27,WR,WR23,59.1
62,18944,Kareem Hunt,CLE,13,28,RB,RB28,59.7
63,21690,Tee Higgins,CIN,10,25,WR,WR24,60.1
64,19919,Chase Edmonds,ARI,12,28,RB,RB29,62.3
65,21692,Jerry Jeudy,DEN,11,25,WR,WR25,63.1
66,18055,Dak Prescott,DAL,7,30,QB,QB6,64.3
67,21752,Chase Claypool,PIT,7,25,WR,WR26,65.5
68,16656,Logan Thomas,WAS,9,32,TE,TE7,65.7
69,14536,Russell Wilson,SEA,9,35,QB,QB7,66.3
70,16389,Odell Beckham Jr.,CLE,13,31,WR,WR27,68.7
71,21801,Trey Sermon,SF,6,25,RB,RB30,68.8
72,21681,Justin Herbert,LAC,7,26,QB,QB8,70.1
73,16776,Melvin Gordon III,DEN,11,31,RB,RB31,71.6
74,11056,Antonio Brown,TB,9,35,WR,WR28,72.5
75,18187,Robbie Chosen,CAR,13,31,WR,WR29,74.9
75,21687,DeVonta Smith,PHI,14,25,WR,WR30,74.9
77,4314,Tom Brady,TB,9,46,QB,QB9,75.2
78,17960,Michael Thomas,NO,6,31,WR,WR31,75.4
79,21697,Laviska Shenault Jr.,JAX,7,25,WR,WR32,76.9
80,20753,Noah Fant,DEN,11,26,TE,TE8,77.9
81,22553,Michael Carter,NYJ,6,25,RB,RB32,78.1
82,21750,Marquez Callaway,NO,6,26,WR,WR33,79.3
83,19861,Ronald Jones,TB,9,26,RB,RB33,80
84,21802,AJ Dillon,GB,13,26,RB,RB34,81.5
85,19491,Robert Tonyan,GB,13,30,TE,TE9,83.8
86,19828,Sony Michel,LAR,11,29,RB,RB35,83.9
87,18883,JuJu Smith-Schuster,PIT,7,27,WR,WR34,84.7
88,19800,Courtland Sutton,DEN,11,28,WR,WR35,85.5
89,18032,Tyler Higbee,LAR,11,31,TE,TE10,87.1
90,9038,Matthew Stafford,LAR,11,36,QB,QB10,87.2
91,22564,Ja'Marr Chase,CIN,10,24,WR,WR36,87.4
92,21784,Zack Moss,BUF,7,26,RB,RB36,88.1
92,18995,Jamaal Williams,DET,9,29,RB,RB37,88.1
94,18879,Corey Davis,NYJ,6,29,WR,WR37,88.3
95,20941,Devin Singletary,BUF,7,26,RB,RB38,91.6
